Question,Answer,Sources
What complications can arise from a colonoscopy?,"After a colonoscopy, a patient may experience bloody bowel movements and require evaluation in the emergency department (Blood per Rectum, Gastroenterology)."," Colonoscopy - 14 ,  Blood per Rectum "
Describe the patient's history with type 2 diabetes.,"The patient has a past history of type II diabetes (Consult - History and Phy., Gen Med Consult - 43; General Medicine, Gen Med Consult - 43)."," Back Pain - Discharge Summary ,  Gen Med Consult - 43 "
What are the signs of acute appendicitis?,"The signs of acute appendicitis include:
*   Vague pain that progressed in intensity (24 hours prior to this evaluation.).
*   Anorexia with a decrease in appetite (24 hours prior to this evaluation.).
*   Being febrile with a temperature of 102.4 (24 hours prior to this evaluation.).
*   Right lower quadrant and suprapubic tenderness with palpation (24 hours prior to this evaluation.).
*   Rovsing sign (24 hours prior to this evaluation.).
*   Rebound tenderness (24 hours prior to this evaluation.).
*   Right-sided abdominal pain (TRANSCRIPTION).
*   Nausea (TRANSCRIPTION).
*   Fever (TRANSCRIPTION)."," CT Abdomen & Pelvis - 6 ,  Diverticulectomy & Laparotomy "
How is a rotator cuff tear repaired?,"A rotator cuff tear is repaired through a multi-step procedure (medical records).

The repair involves:
*   Debridement of the articular side of the rotator cuff and subchondral debridement to the tuberosity (medical records).
*   Gross bursectomy in the subacromial region through the lateral portal (medical records).
*   Further debridement to the rotator cuff (medical records).
*   Two types of fixation were carried out (medical records).
*   One type of fixation involved making a drill hole through a superolateral portal and placing a knotless suture anchor after a PDS leader suture was placed with a Caspari punch (medical records).
*   Tendon-to-tendon repair was accomplished by placing a fiber wire across the tendon and tying it down through the anterolateral portal (medical records). This was done with a sliding stitch and then two half stitches (medical records).
*   The overall operation was described as a ""Repair of rotator cuff through mini-arthrotomy"" (medical records)."," Arthroscopic SLAP lesion ,  Rotator Cuff Repair "
What is the purpose of a stress test?,"A stress test is performed for the evaluation of coronary artery disease (Dobutamine Stress Test - 1, Radiology; Dobutamine Stress Test - 1, Cardiovascular / Pulmonary). It can also be prompted by symptoms such as chest discomfort (Dobutamine Stress Test - 1, Radiology; Dobutamine Stress Test - 1, Cardiovascular / Pulmonary) or chest pain (Stress Test Graded Exercise Treadmill, Radiology)."," Stress Test Graded Exercise Treadmill ,  Dobutamine Stress Test - 1 "
Describe the symptoms of pneumonia.,I cannot find the answer in the provided medical records.," Trouble breathing ,  Pulmonary Consultation - 2 "
What medications were prescribed for hypertension?,"The medications prescribed for hypertension include HCTZ at 24 mg daily (medical record), Tekturna (medical record), and either a beta-blocker or an ACE inhibitor (medical record)."," Consult - Hypertension ,  Cardiology Progress Note - 1 "
What are the risks of general anesthesia?,I cannot find the answer in the provided medical records.," Postop Transanal Excision ,  Hydrocelectomy. "
How is a sleep apnea study conducted?,"A sleep apnea study is conducted by monitoring several physiological parameters. This includes:
*   Electroencephalogram (EEG) (Sleep Difficulties, Polysomnography)
*   Electromyogram (EMG) of the chin and lower extremities or jaw and leg (Sleep Difficulties, Polysomnography)
*   Electrooculogram (EOG) (Sleep Difficulties, Polysomnography)
*   Electrocardiogram (EKG) (Sleep Difficulties, Polysomnography)
*   Air flow from the nose and mouth, sometimes using oral/nasal thermistors (Sleep Difficulties, Polysomnography)
*   Respiratory effort at the chest and abdomen, which can be measured by thoracoabdominal impedance (Sleep Difficulties, Polysomnography)
*   Finger oximetry or oximetry (Sleep Difficulties, Polysomnography)"," Sleep Difficulties ,  Polysomnography ,  Sleep Study Interpretation "
What findings suggest a kidney stone?,"A 6-mm left intrarenal stone, nonobstructing, by ultrasound and IVP suggests a kidney stone (Microhematuria - Consult, Consult - History and Phy.)."," Microhematuria - Consult ,  Nephrology Office Visit - 1 "
Describe the procedure for a tonsillectomy.,"The tonsillectomy procedure involves several steps. The right tonsil is grasped with a tenaculum and retracted from its fossa (medical records). The anterior tonsillar pillar is incised with a #12 knife blade, and the plica semilunaris is incised with Metzenbaum scissors (medical records). The tonsil is then dissected free of its fossa onto an inferior pedicle using Metzenbaum scissors and a Fisher knife (medical records). A tonsillar snare is placed and applied around the pedicle, and the tonsil is removed from the fossa (medical records). Alternatively, the plane between the tonsil and musculature is developed, and the tonsil is completely dissected out, preserving both the anterior and posterior tonsillar pillars (medical records).

After removal, the fossa is packed with a cherry gauze sponge (medical records). A similar procedure is then performed for the opposite tonsil, and its fossa is also packed (medical records).

Attention is then re-directed to the right tonsil, where the pack is removed and bleeding is controlled with a suction Bovie unit (medical records). Bleeding is similarly controlled in the left tonsillar fossa and the nasopharynx after pack removal (medical records). All bleeders encountered during dissection are cauterized, and both tonsil beds are re-cauterized, with particular attention to the inferior and superior poles (medical records). Finally, catheters are removed, and the nasal passages and oropharynx are suctioned (medical records). The stomach is evacuated with a nasogastric tube (medical records). The patient is then awakened, extubated, and taken to the recovery room (medical records)."," Bilateral Myringotomies - 1 ,  Tonsillectomy "
What is the recovery time for knee arthroscopy?,I cannot find the answer in the provided medical records.," Synovectomy - Partial ,  Meniscoplasty & Chondroplasty "
What are the symptoms of vertigo?,"The symptoms of vertigo include recurrent attacks of vertigo and imbalance (Vertigo Consult, ENT - Otolaryngology; Vertigo Consult, Consult - History and Phy.). A patient may also experience a rotational sensation upon arising from the bed or chair, which lasts for several minutes and requires them to sit back down and stay in one place (Dizziness - Recurrent, Consult - History and Phy.). Similar rotational sensations can occur when rolling over in bed (Dizziness - Recurrent, Consult - History and Phy.). At times, there may also be a feeling as though one is going to pass out (Dizziness - Recurrent, Consult - History and Phy.). These sensations may stop if the patient sits in one place or lies down for several minutes (Dizziness - Recurrent, Consult - History and Phy.)."," Vertigo Consult ,  Dizziness - Recurrent "
How is asthma managed in this patient?,I cannot find the answer in the provided medical records.," Bronchiolitis - 2-month-old ,  Asthma in a 5-year-old "
What does an MRI of the brain reveal?,"An MRI scan of the brain from December 11, 2007, reveals several findings (Specialty: Radiology):
*   The ventricles are enlarged with a frontal horn span of 5.0 cm (Specialty: Radiology).
*   The 3rd ventricle contour is flat, and its span is enlarged at 12 mm (Specialty: Radiology).
*   The sylvian aqueduct is patent (Specialty: Radiology).
*   There is a pulsation artifact (Specialty: Radiology).
*   The corpus callosum is effaced (Specialty: Radiology).
*   There are extensive T2 signal abnormalities that are confluent in the corona (Specialty: Radiology)."," MRI Brain & T-spine - Demyelinating disease. ,  Neurologic Consultation - 2 "
Describe the symptoms of gastroesophageal reflux disease (GERD).,"The symptoms of gastroesophageal reflux disease (GERD) can include reflux symptoms, which may occur without complaining of heartburn (Medical Record). A patient also reported an episode of heartburn after eating a large pizza (Medical Record)."," EGD - 2 ,  Ear pain - Pediatric Consult "
What is the treatment for an ankle fracture?,I cannot find the answer in the provided medical records., Foot pain Consultation 
How is a biopsy of a skin lesion performed?,I cannot find the answer in the provided medical records.," Punch Biopsy - 2 ,  Skin Biopsy "
What are the signs of congestive heart failure?,"The signs of congestive heart failure mentioned in the provided medical records include:
*   Shortness of breath (Consult - Congestive Heart Failure, Dilated Cardiomyopathy - Consult)
*   Fatigue (Consult - Congestive Heart Failure)
*   Tiredness (Consult - Congestive Heart Failure)
*   Right-sided pain (Consult - Congestive Heart Failure)
*   Abdominal pain (Consult - Congestive Heart Failure)
*   Elevated BNP (Consult - Congestive Heart Failure)
*   Shortness of breath with exertion (Dilated Cardiomyopathy - Consult)
*   Occasional shortness of breath at rest (Dilated Cardiomyopathy - Consult)"," Dilated Cardiomyopathy - Consult ,  Consult - Congestive Heart Failure ,  Cardiology Progress Note - 1 "
Describe the patient's allergies and reactions.,"I cannot find the answer in the provided medical records. The context indicates the patient is undergoing ""food allergy evaluation"" (Sample Name: not specified, Specialty: not specified) and has been prescribed an EpiPen for potential ""acute angioedema or allergic reaction or sensation of impending allergic reaction"" (Sample Name: not specified, Specialty: not specified), but it does not describe specific allergies or past reactions."," Evaluation of Allergies ,  Allergy Evaluation Consult "
